"keys","en","tr"
"d1.home.hoca.001","Yes, yes. The deputy eats first. House rule.","Tamam, tamam. Önce vekil yer. Ev kuralı."
"d1.home.hoca.002","My father kept this dish clean for thirty years.","Babam bu çanağı otuz yıl tertemiz tuttu."
"d1.home.hoca.003","He never once looked through it.","Bir kere bile içinden bakmadı."
"d1.home.radio.001","...resurfacing of the Sarptepe road will continue through the month, weather permitting...","...Sarptepe yolunun yenileme çalışmaları, hava koşulları elverdiği sürece bu ay boyunca devam edecek..."
"d1.home.radio.002","...drivers are asked to be patient with the machines, and with each other...","...sürücülerden hem iş makinelerine hem birbirlerine karşı sabırlı olmaları rica ediliyor..."
"d1.home.yildiz.001","Mrrp. (A tribute is expected.)","Mırrp. (Bir haraç bekleniyor.)"
"d1.obs.choice.001","RE-PRINT","YENİDEN YAZDIR"
"d1.obs.choice.002","COMPARE","KARŞILAŞTIR"
"d1.obs.choice.003","SAY NOTHING","HİÇBİR ŞEY SÖYLEME"
"d1.obs.ebru.001","Evening, Hocam. Don't touch my printout piles. They look like chaos. They're stratigraphy.","İyi akşamlar Hocam. Çıktı yığınlarıma dokunma. Karmaşa gibi görünüyor ama stratigrafi onlar."
"d1.obs.hoca.001","Good data tonight, then.","Bu gece veri iyiymiş, demek."
"d1.obs.hoca.002","Understood. I'll disturb nothing and be blamed anyway.","Anlaşıldı. Hiçbir şeye dokunmayacağım, yine de suçlanacağım."
"d1.obs.hoca.003","There you are. Right where the catalog says. Good pulsar.","İşte buradasın. Tam katalogun dediği yerde. İyi bir pulsar."
"d1.obs.hoca.004","Shelving duty. The glamour of modern astronomy.","Rafa kaldırma nöbeti. Modern astronominin ihtişamı."
"d1.obs.hoca.005","Last week's batch. Print, stamp, shelf. Print, stamp—","Geçen haftanın yığını. Yazdır, damgala, rafla. Yazdır, damgala—"
"d1.obs.hoca.006","...Hm.","...Hm."
"d1.obs.hoca.007","Narrowband. Drifting. Sitting in the batch like a hair in a photograph.","Dar bant. Kayıyor. Yığının içinde, fotoğraftaki bir saç teli gibi oturuyor."
"d1.obs.hoca.008","The date stamp. This printed on Tuesday. While everyone slept.","Tarih damgası. Bu, salı günü basılmış. Herkes uyurken."
"d1.obs.hoca.009","It arrived Tuesday. It's Friday. We heard it days after it spoke.","Salı günü ulaştı. Bugün cuma. Onu, o konuştuktan günler sonra duyduk."
"d1.obs.hoca.010","Again. Print it again. ...Same trace. Same drift. Not a smudge, then.","Yine. Yeniden yazdır. ...Aynı iz. Aynı kayma. Demek leke değilmiş."
"d1.obs.hoca.011","Tuesday's batch. Wednesday's. ...It's in both. It's patient.","Salının yığını. Çarşambanınki. ...İkisinde de var. Sabırlı bu."
"d1.obs.hoca.012","...Not yet. Not until I know what I'd be saying.","...Henüz değil. Ne söyleyeceğimi bilene kadar değil."
"d1.obs.hoca.013","Into the pocket. Just for tonight.","Cebe. Sadece bu geceliğine."
"d1.obs.metin.001","Hm-hm-hmm... hm-hm...","Hm-hm-hmm... hm-hm..."
"d1.obs.metin.002","Hm-hmmm.","Hm-hmmm."
"d1.obs.sys.001","OBSERVER: _","GÖZLEMCİ: _"
"d1.obs.sys.002","LOGGED. WELCOME TO THE NIGHT SHIFT.","KAYDA GEÇTİ. GECE VARDİYASINA HOŞ GELDİN."
"d1.obs.sys.003","CALIBRATION TASK — PSR B0329+54. ALIGN THE DRIFT. TAKE YOUR TIME.","KALİBRASYON GÖREVİ — PSR B0329+54. KAYMAYI HİZALA. VAKTİNİ AL."
"d1.obs.sys.004","ARCHIVE — LAST WEEK'S BATCH. 214 PAGES. SHELVE ME.","ARŞİV — GEÇEN HAFTANIN YIĞINI. 214 SAYFA. BENİ RAFLA."
"d1.obs.sys.005","1421.6 MHz. DRIFT: -0.11 Hz/s. BEAM 2.","1421.6 MHz. KAYMA: -0.11 Hz/s. HUZME 2."
"d1.obs.tezcan.001","Deniz. The batch archive — shelved by morning, please. Grant people love a tidy shelf.","Deniz. Yığın arşivi — sabaha kadar raflanmış olsun, lütfen. Fon verenler düzenli rafı sever."
"d1.road.hoca.001","You made the rule, İsmet.","Kuralı sen koydun, İsmet."
"d1.road.ismet.001","Front seat, Hoca. Night-shift men sit up front. You know the rule.","Ön koltuk, Hoca. Gece vardiyasının adamları öne oturur. Kuralı bilirsin."
"d1.road.ismet.002","And it's a good one. Look at her shrink. Look at the dish grow.","Hem de iyi bir kural. Bak, kasaba küçülüyor. Bak, çanak büyüyor."
"d1.town.choice.001","The sky is full of last words.","Gökyüzü son sözlerle dolu."
"d1.town.choice.002","Not for a thousand years.","Bin yıl geçmeden olmaz."
"d1.town.choice.003","ASK ABOUT THE CHAIR","SANDALYEYİ SOR"
"d1.town.choice.004","DRINK YOUR TEA","ÇAYINI İÇ"
"d1.town.elif.001","Hoca! Hoca, wait! One question. It's important. It's for the notebook.","Hoca! Hoca, dur! Bir soru. Önemli. Defterim için."
"d1.town.elif.002","If a star died right now — this second — would we know?","Bir yıldız şimdi ölse — bu saniye — bilir miydik?"
"d1.town.elif.003","Full... of... last... words. That's the best one yet.","Son... sözlerle... dolu. Şimdiye kadarki en iyisi bu."
"d1.town.elif.004","Old... news. So looking up is reading history.","Eski... haber. Demek yukarı bakmak, tarih okumakmış."
"d1.town.elif.005","Written down. Verbatim. You can't take it back now, Hoca.","Yazdım. Kelimesi kelimesine. Artık geri alamazsın, Hoca."
"d1.town.fadime.001","There he is. The end-piece is yours, Hoca. I fought two customers for it.","İşte geldi. Uç dilim senin, Hoca. Onun için iki müşteriyle kapıştım."
"d1.town.fadime.002","Someone has to. Eat it while it's warm.","Birinin yapması lazım. Sıcakken ye."
"d1.town.hoca.001","You spoil me, Fadime Hanım.","Beni şımartıyorsun, Fadime Hanım."
"d1.town.hoca.002","One day I will surprise you, Musa.","Bir gün seni şaşırtacağım, Musa."
"d1.town.hoca.003","Tonight, Şükrü Bey. The sky doesn't keep my hours.","Bu gece, Şükrü Bey. Gökyüzü benim saatlerime uymuyor."
"d1.town.hoca.004","We wouldn't. Light takes its time. The sky is full of last words, still arriving.","Bilemezdik. Işık zaman alır. Gökyüzü son sözlerle dolu; hâlâ yolda olan sözlerle."
"d1.town.hoca.005","No. Not for a thousand years. Tonight's sky is old news, Elif. All of it.","Hayır. Bin yıl geçmeden olmaz. Bu geceki gökyüzü eski haber, Elif. Tamamı."
"d1.town.hoca.006","You're a dangerous man, Kadir.","Tehlikeli bir adamsın, Kadir."
"d1.town.hoca.007","Kadir. The wall table. When did you get a fourth chair?","Kadir. Duvar kenarındaki masa. Dördüncü sandalyeyi ne zaman aldın?"
"d1.town.hoca.008","There you are. All of you. Accounted for.","İşte buradasınız. Hepiniz. Eksiksiz."
"d1.town.kadir.001","Weak, one sugar. I started pouring when I saw your hat.","Açık, bir şeker. Şapkanı görünce koymaya başladım bile."
"d1.town.kadir.002","Not mine. Thought it was yours.","Benim değil. Seninkidir sandım."
"d1.town.kadir.003","Been there since Tuesday. Nobody moves it. It's a good chair.","Salıdan beri orada. Kimse yerinden oynatmıyor. İyi bir sandalye."
"d1.town.kadir.004","Drink. The second glass is already warming.","İç. İkinci bardak şimdiden ısınıyor."
"d1.town.musa.001","Cat food and red lentils. I know, I know. Bread's next door.","Kedi maması ve kırmızı mercimek. Biliyorum, biliyorum. Ekmek yan kapıda."
"d1.town.sukru.001","Sit. Lose gracefully. It's good for the humility.","Otur. Zarifçe kaybet. Alçakgönüllülüğe iyi gelir."
"d1.town.sys.001","SAVED. OBSERVER LOG. DAY 1.","KAYDEDİLDİ. GÖZLEMCİ KAYDI. GÜN 1."
"d2.home.hoca.001","...Same story as yesterday. Word for word.","...Dünkünün aynısı. Kelimesi kelimesine."
"d2.home.hoca.002","Slow week, apparently. Even for road news.","Durgun bir hafta, galiba. Yol haberleri için bile."
"d2.home.radio.001","...resurfacing of the Sarptepe road will continue through the month, weather permitting...","...Sarptepe yolundaki kaplama yenileme çalışması, hava koşulları uygun olursa bu ay boyunca sürecek..."
"d2.home.radio.002","...drivers are asked to be patient with the machines, and with each other...","...sürücülerden hem makinelere hem birbirlerine karşı sabırlı olmaları isteniyor..."
"d2.home.yildiz.001","Mrr.","Mırr."
